Tiempo (s),intensidad
914,1.978239184428405e-8
915,2.1289536186076272e-8
916,2.0843660941742264e-8
917,2.0806881798431157e-8
918,1.965646873803286e-8
919,2.0643360651064335e-8
920,1.914252398834606e-8
921,1.7779375404932227e-8
922,1.7523275945142725e-8
923,1.973248130422017e-8
924,1.931948298774125e-8
925,1.6755484871500055e-8
926,1.8674535146430276e-8
927,2.526836839640183e-8
928,1.7381233742819996e-8
929,1.8034935772008924e-8
930,1.832303452848372e-8
931,1.983697289911606e-8
932,1.9579923921340526e-8
933,1.961995468581803e-8
934,1.856993142580905e-8
935,1.778227818327606e-8
936,1.8593536471850664e-8
937,2.1266978890827407e-8
938,2.028285098628657e-8
939,1.9347978672996034e-8
940,1.8152510640469534e-8
941,1.8738335047100008e-8
942,1.671770278973995e-8
943,1.6956413548663314e-8
944,1.50536910959391e-8
945,1.7429270092752983e-8
946,1.680398944209919e-8
947,1.811075268422428e-8
948,1.510219244091465e-8
949,1.6146076283010138e-8
950,1.677861079291476e-8
951,1.5742402057942846e-8
952,1.4408693393940677e-8
953,1.6583515460744815e-8
954,1.4618708289026982e-8
955,1.691838875241587e-8
956,1.566637074801436e-8
957,1.7127082906252635e-8
958,1.417718478571821e-8
959,1.4803452005558016e-8
960,1.2543380596072461e-8
961,1.101062064734693e-8
962,1.3639093292457387e-8
963,1.3805352493404825e-8
964,1.3770699457141825e-8
965,9.923868480489638e-9
966,1.3282444196950399e-8
967,9.23892836979746e-9
968,1.196912492907815e-8
969,1.0004322886317657e-8
970,9.244043915365097e-9
971,1.0752988962047761e-8
972,1.0588937867221924e-8
973,1.2555892825612762e-8
974,1.0176295275949543e-8
975,1.2541497617903698e-8
976,1.0570796202111027e-8
977,1.1138956296439274e-8
978,1.1359442041105665e-8
979,1.236158046073343e-8
980,1.5100732000040566e-8
981,1.3814526377823526e-8
982,1.465080540490095e-8
983,1.270077727026905e-8
984,1.4876165454869327e-8
985,1.4908501728168712e-8
986,1.5108752257258127e-8
987,1.4010618252319e-8
988,1.403006231608585e-8
989,1.6017602064265343e-8
990,1.6669708290043622e-8
991,1.4974316216585882e-8
992,1.637043425494868e-8
993,1.796753088280796e-8
994,1.7027990530969527e-8
995,1.590756476245438e-8
996,1.6523216752575983e-8
