Tiempo (s),intensidad
768,2.0102256028732343e-8
769,1.7952213312590166e-8
770,1.9056757168786037e-8
771,1.7163663838320925e-8
772,2.0011193894646567e-8
773,1.88490037136173e-8
774,1.8068371024924864e-8
775,1.6048934330632325e-8
776,1.6653844298525633e-8
777,1.6383711805869612e-7
778,3.2006677948849904e-8
779,9.944004221421326e-8
780,8.411504856340292e-8
781,1.789962778053589e-8
782,1.728235811138581e-8
783,1.6906558049002165e-8
784,2.0257152613497675e-8
785,1.7340167967371052e-8
786,2.0767671233751158e-8
787,1.611225772278417e-8
788,1.6455117963001265e-8
789,1.5828144266018735e-8
790,1.937157801817332e-8
791,1.7239572811135737e-8
792,1.592162900259674e-8
793,2.0359940289879823e-8
794,1.893998366040776e-8
795,1.8539550488687564e-8
796,1.726627286745513e-8
797,1.6621664038984778e-8
798,1.956787205244869e-8
799,1.6241831477075902e-8
800,1.78162377689942e-8
801,1.7097200314048647e-8
802,1.6450594601297263e-8
803,1.4289433116123228e-8
804,1.6106159662624967e-8
805,1.6638581563674092e-8
806,1.667222643269195e-8
807,1.825169908648455e-8
808,1.8080744117330997e-8
809,1.86649142912877e-8
810,1.8911631635074863e-8
811,1.8087748051942527e-8
812,1.9289945471982622e-8
813,1.5936465247045345e-8
814,1.5806710526963003e-8
815,1.7562817965844615e-8
816,1.7257675555952434e-8
817,1.406295541877405e-8
818,1.5971422557294118e-8
819,1.4119879811033969e-8
820,1.656204651359489e-8
821,1.50661331056343e-8
822,1.834209759843566e-8
823,1.543263198905668e-8
824,1.8670566695263353e-8
825,1.9902003578871444e-8
826,1.847845258941042e-8
827,1.7017235144930826e-8
828,1.90016056187385e-8
829,1.6670310920658734e-8
830,1.469678023162866e-8
831,1.2940772430415534e-8
832,1.626452933008454e-8
833,1.3134801080031934e-8
834,1.4016448963027744e-8
835,1.3780139053500487e-8
836,1.4300163402156868e-8
837,1.6473163161477534e-8
838,1.634063766067921e-8
839,1.583609141193063e-8
840,1.7083230470131256e-8
841,1.708070531178296e-8
842,1.6610121146310615e-8
843,1.5192445952191976e-8
844,1.4331171724326945e-8
845,1.6150463849363146e-8
846,1.6737273003004996e-8
847,1.7005824780077534e-8
848,1.542673431483154e-8
849,1.4612011320330793e-8
850,1.6482978798134386e-8
851,1.4877867958033222e-8
852,1.7477165548051984e-8
853,1.8452745839849246e-8
854,1.3662022618299607e-8
855,1.5781162797143272e-8
856,1.683137515107693e-8
857,1.7490539274244247e-8
858,1.8985703753234322e-8
859,1.782965747345663e-8
860,1.7302362235647906e-8
861,1.706514567719267e-8
862,1.6303535745442978e-8
863,1.7585187366716762e-8
864,1.6678392881523382e-8
865,1.6837022800010857e-8
866,1.7918547405274002e-8
867,1.7571708901790682e-8
868,1.7614892616930774e-8
869,1.6306298944064412e-8
870,1.6867588598364992e-8
871,1.577220452056401e-8
872,1.592256388313541e-8
873,1.4600831868361535e-8
874,1.3686802485836327e-8
875,1.4665483985589584e-8
876,1.4040762716511584e-8
877,1.4246113497261847e-8
878,1.3030887638252407e-8
879,1.2917343245477678e-8
880,1.6016982460468406e-8
881,1.3584035253839433e-8
882,1.0530694163443976e-8
883,1.1289897525451586e-8
884,1.399879649166663e-8
885,9.68862172541218e-9
886,9.428074377753827e-9
887,1.1123703389416345e-8
888,1.146874244917035e-8
889,1.1682182862058203e-8
890,1.250679409734396e-8
891,1.2061110601468861e-8
892,1.3740881679780671e-8
893,1.5639850595083594e-8
894,1.615358792813216e-8
895,1.485224826056007e-8
896,1.430401642027988e-8
897,1.1626666089987755e-8
898,1.584975304995522e-8
899,1.510356260194302e-8
900,1.4333788763519328e-8
901,1.4991745464809265e-8
902,1.5248179647663305e-8
903,1.4833502187751119e-8
904,1.7741159484134933e-8
905,1.780368902890725e-8
906,1.6625166368737763e-8
907,1.99565837959447e-8
908,1.6969068390131924e-8
909,1.8769512809014352e-8
910,1.751769658981753e-8
911,1.6061699633653425e-8
912,1.8804465781258642e-8
913,1.6679383719159927e-8
914,1.910152318754139e-8
915,1.872147231420877e-8
916,1.6118848002577685e-8
917,1.808571571547094e-8
918,1.718335648347158e-8
919,1.8079124687480735e-8
920,1.841770446949488e-8
921,1.730822770136557e-8
922,1.960821228114588e-8
923,1.8930422199032414e-8
924,1.7679215920916542e-8
925,1.880154766301553e-8
926,1.8287292021562333e-8
927,1.8625129454193116e-8
928,1.691214135900626e-8
929,1.775482516165757e-8
930,1.68847875278967e-8
931,1.790673060560746e-8
932,1.7005288332725565e-8
933,1.73474642036442e-8
934,1.749157836024729e-8
935,1.7807952968358884e-8
